Name,Status,Time of Day,Opening Hours,Building Name,Building Number,Street,Postcode,Telephone,E-Mail,Website,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded,Socrata ID,Organisation URI
Community Toilet Scheme Pedros Cafe,Available,Daytime,"Mon-Sun, 8am-4pm",,165,Kentish Town Road,NW1 8PD,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/cts,E05013664,Kentish Town South,528933,184628,-0.142015,51.54582,"(51.54582, -0.142015)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,9,http://opendatacommunities.org/id/london-borough-council/camden
Lincolns Inn Fields Public Conveniences,Available,Daytime,"1st Nov–31st May 9am-6pm. 1st Jun–31st Oct  9am-8pm, 7 days.",Public Convenience,,Lincoln's Inn Fields,,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05013662,Holborn and Covent Garden,530862,181462,-0.115388,51.516933,"(51.516933, -0.115388)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,24,http://opendatacommunities.org/id/london-borough-council/camden
Chalk Farm night time toilets,Available,After 7pm,7pm - 5am,Public Convenience,Near Petrol Station,,NW1 8HQ,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05013655,Camden Town,528428.33,184281.42,-0.149401,51.542828,"(51.542828, -0.149401)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,4,http://opendatacommunities.org/id/london-borough-council/camden
Gospel Oak Railway Station Public Conveniences,Available,Opening Time Varies,,Gospel Oak Railway Station,15828,Gordon House Road,NW5 1LT,0343 222 1234,,http://content.tfl.gov.uk/toilets-map.pdf,E05013661,Highgate,528266,185682,-0.151237,51.55545,"(51.55545, -0.151237)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,13,http://opendatacommunities.org/id/london-borough-council/camden
Holborn Library,Available,Daytime,"Mon – Sat, 11am to 3.30pm",,32-38,Theobald's Road,WC1X 8PA,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/holbornlibrary,E05013662,Holborn and Covent Garden,530827,181935,-0.115702,51.521182,"(51.521182, -0.115702)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,17,http://opendatacommunities.org/id/london-borough-council/camden
West Hampstead Library,Available,Daytime,"Mon – Sat, 11am to 3.30pm; library card and pin needed before 12 noon",West Hampstead Library,,Dennington Park Road,NW6 1AU,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/westhampsteadlibrary,E05013671,West Hampstead,525481,185042,-0.191623,51.550317,"(51.550317, -0.191623)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,37,http://opendatacommunities.org/id/london-borough-council/camden
Swiss Cottage Central Library,Available,Daytime,"Mon – Sat, 11am to 3.30pm",Swiss Cottage Library,88,Avenue Road,NW3 3HA,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/swisscottagelibrary,E05013667,Primrose Hill,526780,184180,-0.173208,51.54229,"(51.54229, -0.173208)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,34,http://opendatacommunities.org/id/london-borough-council/camden
Chalk Farm night time toilets,Available,After 7pm,7pm - 5am,Public Convenience,Near Tube Station,,NW1 8BB,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05013660,Haverstock,528186.17,184383.34,-0.152854,51.543799,"(51.543799, -0.152854)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,5,http://opendatacommunities.org/id/london-borough-council/camden
Millfield Lane Public Conveniences,Available,Daytime,Mon-Sun 7.30am-8.30pm.,168066,20499065,,,"020 7332 3322, 020 7332 3977",,http://www.cityoflondon.gov.uk/hampstead,E05013661,Highgate,527823,186842,-0.157195,51.565977,"(51.565977, -0.157195)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,25,http://opendatacommunities.org/id/london-borough-council/camden
Highgate Road Public Conveniences,Available,Daytime,Mon-Sun 8am-dusk.,Public Conveniences,,Highgate Road,,"020 7332 3322, 020 7332 3773",,http://www.cityoflondon.gov.uk/openspaces,E05013661,Highgate,528211,186126,-0.151861,51.559446,"(51.559446, -0.151861)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,16,http://opendatacommunities.org/id/london-borough-council/camden
East Heath Road Public Conveniences,Available,Daytime,"Daily 8am-3.30pm (winter), 8am-one hour before dusk (summer).",Public Conveniences,,East Heath Road,,020 7332 3322/3977,,http://www.cityoflondon.gov.uk/openspaces,E05013659,Hampstead Town,526691,186620,-0.173598,51.564237,"(51.564237, -0.173598)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,11,http://opendatacommunities.org/id/london-borough-council/camden
West Hampstead Thameslink,Available,Open 24 Hours,,West Hampstead Thameslink Railway Station,,West End Lane,NW6 2LJ,0343 222 1234,,http://content.tfl.gov.uk/toilets-map.pdf,E05013671,West Hampstead,525506,184844,-0.191326,51.548535,"(51.548535, -0.191326)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,38,http://opendatacommunities.org/id/london-borough-council/camden
Community Toilet Scheme Abbey Road Community Centre,Open,Daytime,,Abbey Community Centre,172,Belsize Road,NW6 4BJ,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/cts,E05013665,Kilburn,525898.15,183948.4,-0.185987,51.540405,"(51.540405, -0.185987)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,6,http://opendatacommunities.org/id/london-borough-council/camden
Kilburn Library Centre,Available,Daytime,"Mon – Sat, 11am to 3.30pm",,20221201,Kilburn High Road,NW6 5UH,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/kilburnlibrary,E05013665,Kilburn,525552,183494,-0.191137,51.536389,"(51.536389, -0.191137)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,21,http://opendatacommunities.org/id/london-borough-council/camden
St Pancras International Station Public Conveniences,Available,Open 24 Hours,Mon-Sun 4.30am-00.30am.,St Pancras International Station,,Pancras Road,NW1 2QL,020 7843 4250,,http://www.stpancras.com,E05013666,Kings Cross,530075,183056,-0.126121,51.53143,"(51.53143, -0.126121)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,33,http://opendatacommunities.org/id/london-borough-council/camden
Highgate Library,Available,Daytime,"Tue-Thu & Sat, 11am to 3.30pm",Highgate Library,59,Chester Road,N19 5DH,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/highgatelibrary,E05013661,Highgate,528740,186620,-0.144068,51.563774,"(51.563774, -0.144068)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,15,http://opendatacommunities.org/id/london-borough-council/camden
Queens Crescent Library,Available,Daytime,"Mon – Sat, 11am to 3.30pm;  library card and pin needed before 12 noon",Queens Crescent Branch Library,165,Queen's Crescent,NW5 4HH,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/queenscrescentlibrary,E05013658,Gospel Oak,528284,185130,-0.151186,51.550488,"(51.550488, -0.151186)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,29,http://opendatacommunities.org/id/london-borough-council/camden
Mornington Crescent Pop-up Urinal,Available,After 7pm,7pm - 5am,Public Convenience,Near 2 Camden High Street,,NW1 OJH,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05013668,Regents Park,529195.94,183401.02,-0.138661,51.534741,"(51.534741, -0.138661)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,26,http://opendatacommunities.org/id/london-borough-council/camden
Euston Station Public Conveniences,Available,Daytime,"Mon-Thu 4.30am-1.35am, Fri-Sat 4.30am-2am, Sun 5.15am-1.35am.",Euston Railway Station,,Eversholt Street,NW1 2HS,020 7922 6482 (Customer Reception),,http://www.networkrail.co.uk/aspx/819.aspx,E05013668,Regents Park,529587,182736,-0.13327,51.528667,"(51.528667, -0.13327)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,12,http://opendatacommunities.org/id/london-borough-council/camden
Community Toilet Scheme Belsize Community Library,Available,Daytime,,Belsize Branch Library,,Antrim Road,NW3 4XN,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/cts,E05013652,Belsize,527524,184823,-0.16225,51.547901,"(51.547901, -0.16225)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,7,http://opendatacommunities.org/id/london-borough-council/camden
St Giles High St Pop-up Urinal,Available,Open 24 Hours,Open 24 hrs,Public Convenience,Near 1,St Giles High Street,WC2H 8AG,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05013662,Holborn and Covent Garden,530057,181289,-0.127043,51.515555,"(51.515555, -0.127043)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,32,http://opendatacommunities.org/id/london-borough-council/camden
Kilburn Tube Station,Available,Opening Time Varies,,Kilburn Tube station,,,NW6 7QL,0343 222 1234,,http://content.tfl.gov.uk/toilets-map.pdf,,,524610.53,184639.93,-0.204299,51.546905,"(51.546905, -0.204299)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,22,http://opendatacommunities.org/id/london-borough-council/camden
West Hampstead Underground Station,Available,Opening Time Varies,,West Hampstead Underground Station,,West End Lane,NW6 2LS,0343 222 1234,,http://content.tfl.gov.uk/toilets-map.pdf,E05013671,West Hampstead,525552,184649,-0.19073,51.546771,"(51.546771, -0.19073)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,39,http://opendatacommunities.org/id/london-borough-council/camden
Kentish Town Library,Available,Daytime,"Mon – Sat, 11am to 3.30pm",Kentish Town Library,262-266,Kentish Town Road,NW5 2AA,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/kentishtownlibrary,E05013664,Kentish Town South,529029,185095,-0.140445,51.550003,"(51.550003, -0.140445)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,19,http://opendatacommunities.org/id/london-borough-council/camden
