Description,Road Name,Website,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded
Branch Hill j/w Frognal Rise,Branch Hill,https://www.camden.gov.uk/winter-weather,526190.28912459,185992.53944463,-0.181043,51.558711,POINT (-0.181043 51.558711),Approximate Location,09/01/2026 01:55:48 PM
Bridge Approach j/w Regents Park Road,Bridge Approach,https://www.camden.gov.uk/winter-weather,528056.74834123,184335.75369461,-0.154736,51.543401,POINT (-0.154736 51.543401),Approximate Location,09/01/2026 01:55:48 PM
Broadhurst Gardens j/w Finchley Road,Broadhurst Gardens,https://www.camden.gov.uk/winter-weather,526299.24760704,184523.64990988,-0.179999,51.545485,POINT (-0.179999 51.545485),Approximate Location,09/01/2026 01:55:48 PM
Broadhurst Gardens j/w West End Lane,Broadhurst Gardens,https://www.camden.gov.uk/winter-weather,525536.34034841,184608.59559443,-0.190965,51.546419,POINT (-0.190965 51.546419),Approximate Location,09/01/2026 01:55:48 PM
Broomsleigh Street j/w Dornfell Street by School,Broomsliegh Street,https://www.camden.gov.uk/winter-weather,524964.99883941,185114.00092366,-0.199021,51.551088,POINT (-0.199021 51.551088),Approximate Location,09/01/2026 01:55:48 PM
Burghley Road j/w Oakford Road,Burghley Road,https://www.camden.gov.uk/winter-weather,529060.43611918,185846.21133061,-0.139717,51.556747,POINT (-0.139717 51.556747),Approximate Location,09/01/2026 01:55:48 PM
Camden Square j/w Murray Street,Camden Square,https://www.camden.gov.uk/winter-weather,529583.90680343,184416.76050665,-0.132696,51.543781,POINT (-0.132696 51.543781),Approximate Location,09/01/2026 01:55:48 PM
Cannon Hill j/w West End Lane,Cannon hill,https://www.camden.gov.uk/winter-weather,525496.84650574,185269.69635631,-0.191299,51.552369,POINT (-0.191299 51.552369),Approximate Location,09/01/2026 01:55:48 PM
Chalton street j/w Polygon Road,Chalton street,https://www.camden.gov.uk/winter-weather,529653.29723766,183082.932311,-0.132187,51.531778,POINT (-0.132187 51.531778),Approximate Location,09/01/2026 01:55:48 PM
Chetwynd Road j/w Dartmouth Park Hill,Chetwynd Road,https://www.camden.gov.uk/winter-weather,529012.18602162,186133.16918978,-0.140307,51.559337,POINT (-0.140307 51.559337),Approximate Location,09/01/2026 01:55:48 PM
Christchurch Hill j/w Cannon Place,Christchurch Hill,https://www.camden.gov.uk/winter-weather,526507.64977143,186133.60906387,-0.176417,51.559907,POINT (-0.176417 51.559907),Approximate Location,09/01/2026 01:55:48 PM
Christchurch Hill j/w Willow Road,Christchurch Hill,https://www.camden.gov.uk/winter-weather,526820.70649638,185896.14703666,-0.171989,51.557703,POINT (-0.171989 51.557703),Approximate Location,09/01/2026 01:55:48 PM
Christchurch Hill o/s School side of No 57,Christchurch Hill,https://www.camden.gov.uk/winter-weather,526533.94327128,186101.25832417,-0.176049,51.559611,POINT (-0.176049 51.559611),Approximate Location,09/01/2026 01:55:48 PM
Churchill Road By Bridge,Churchill Road,https://www.camden.gov.uk/winter-weather,528899.91302461,185925.47864058,-0.142002,51.557496,POINT (-0.142002 51.557496),Approximate Location,09/01/2026 01:55:48 PM
Crediton Hill j/w Lymington Road,Crediton Hill,https://www.camden.gov.uk/winter-weather,525667.6099662,184928.06414751,-0.188959,51.549261,POINT (-0.188959 51.549261),Approximate Location,09/01/2026 01:55:48 PM
Cressy Road o/s Ambulance Station,Cressy Road,https://www.camden.gov.uk/winter-weather,527573.65372119,185499.01071575,-0.161277,51.553965,POINT (-0.161277 51.553965),Approximate Location,09/01/2026 01:55:48 PM
Criclewood Broadway o/s Number 110,Cricklewood Broadway,https://www.camden.gov.uk/winter-weather,523965.65620865,185537.7096383,-0.213278,51.555116,POINT (-0.213278 51.555116),Approximate Location,09/01/2026 01:55:48 PM
Croftdown Road j/w St Albans Road,Croftdown Road,https://www.camden.gov.uk/winter-weather,528712.54401108,186481.05960718,-0.1445,51.562532,POINT (-0.1445 51.562532),Approximate Location,09/01/2026 01:55:48 PM
Dartmouth Park Hill j/w Chester Road,Dartmouth Park Hill,https://www.camden.gov.uk/winter-weather,528973.20337273,186512.63057009,-0.14073,51.562756,POINT (-0.14073 51.562756),Approximate Location,09/01/2026 01:55:48 PM
Dartmouth Park Road j/w Laurier Road,Dartmouth Park Road,https://www.camden.gov.uk/winter-weather,528948.84746224,186196.1311671,-0.141197,51.559917,POINT (-0.141197 51.559917),Approximate Location,09/01/2026 01:55:48 PM
Dartmouth Park Hill j/w Highgate Hill,Dartmouth Park Hill,https://www.camden.gov.uk/winter-weather,528836.89602261,187221.09777346,-0.142436,51.569154,POINT (-0.142436 51.569154),Approximate Location,09/01/2026 01:55:48 PM
Dartmouth Park Hill j/w Raydon Street,Dartmouth Park Hill,https://www.camden.gov.uk/winter-weather,528947.43755679,186753.6915671,-0.141013,51.564928,POINT (-0.141013 51.564928),Approximate Location,09/01/2026 01:55:48 PM
East Heath Road j/w Downshire Hill,East Heath Road,https://www.camden.gov.uk/winter-weather,527098.91134805,185877.21245663,-0.167985,51.55747,POINT (-0.167985 51.55747),Approximate Location,09/01/2026 01:55:48 PM
East Heath Road o/s St Mary's Hospital,East Heath Road,https://www.camden.gov.uk/winter-weather,526382.96795746,186231.33109123,-0.178179,51.560814,POINT (-0.178179 51.560814),Approximate Location,09/01/2026 01:55:48 PM
Eton Avenue o/s No 9,Eton Avenue,https://www.camden.gov.uk/winter-weather,527418.35799535,184534.23687939,-0.163865,51.545329,POINT (-0.163865 51.545329),Approximate Location,09/01/2026 01:55:48 PM
Fairfax Road j/w Finchley Road,Fairfax Road,https://www.camden.gov.uk/winter-weather,526442.06031037,184497.34743888,-0.17795,51.545217,POINT (-0.17795 51.545217),Approximate Location,09/01/2026 01:55:48 PM
Ferncroft Avenue j/w Hollycroft Avenue,Ferncroft Avenue,https://www.camden.gov.uk/winter-weather,525500.79589001,185944.90308039,-0.191001,51.558436,POINT (-0.191001 51.558436),Approximate Location,09/01/2026 01:55:48 PM
Flask Walk j/w Back Lane,Flask Walk,https://www.camden.gov.uk/winter-weather,526457.52804499,185782.26963373,-0.177266,51.556761,POINT (-0.177266 51.556761),Approximate Location,09/01/2026 01:55:48 PM
Fleet Road j/w Byron Mews,Fleet Road,https://www.camden.gov.uk/winter-weather,527427.46054281,185478.15668516,-0.163392,51.55381,POINT (-0.163392 51.55381),Approximate Location,09/01/2026 01:55:48 PM
Fordwych Road o/s 68,Fordwych Road,https://www.camden.gov.uk/winter-weather,524628.3859749,184987.45714644,-0.203918,51.550025,POINT (-0.203918 51.550025),Approximate Location,09/01/2026 01:55:48 PM
Fortune Green Road j/w Finchley Road,Fortune Green Road,https://www.camden.gov.uk/winter-weather,525172.37037117,185815.48012733,-0.195782,51.557346,POINT (-0.195782 51.557346),Approximate Location,09/01/2026 01:55:48 PM
Fortune Green Road opposite Lyncroft Gardens,Fortune Green Road,https://www.camden.gov.uk/winter-weather,525369.30365557,185283.05253314,-0.193133,51.552517,POINT (-0.193133 51.552517),Approximate Location,09/01/2026 01:55:48 PM
Fortune Green Road side of 1-6 Burgess Park Mansions,Fortune Green Road,https://www.camden.gov.uk/winter-weather,525166.22780065,185797.28533553,-0.195877,51.557184,POINT (-0.195877 51.557184),Approximate Location,09/01/2026 01:55:48 PM
Frognal j/w Arkwright road,Frognal,https://www.camden.gov.uk/winter-weather,526243.7418557,185224.77921371,-0.180548,51.551799,POINT (-0.180548 51.551799),Approximate Location,09/01/2026 01:55:48 PM
Frognal j/w Reddington Road,Frognal,https://www.camden.gov.uk/winter-weather,526067.05844137,185701.78267289,-0.182924,51.556125,POINT (-0.182924 51.556125),Approximate Location,09/01/2026 01:55:48 PM
Frognal Lane j/w Bracknell Gardens,Frognal Lane,https://www.camden.gov.uk/winter-weather,525785.06910665,185412.0056207,-0.187093,51.553584,POINT (-0.187093 51.553584),Approximate Location,09/01/2026 01:55:48 PM
Frognal Lane j/w Greenaway Gardens,Frognal Lane,https://www.camden.gov.uk/winter-weather,525887.25014888,185463.40090896,-0.185601,51.554023,POINT (-0.185601 51.554023),Approximate Location,09/01/2026 01:55:48 PM
Gayton Road j/w Hampstead High Street,Gayton Road,https://www.camden.gov.uk/winter-weather,526546.89626227,185675.05032494,-0.176016,51.555778,POINT (-0.176016 51.555778),Approximate Location,09/01/2026 01:55:48 PM
Glenloch Road j/w Glenmore Road,Glenloch Road,https://www.camden.gov.uk/winter-weather,527264.10114721,185022.49711635,-0.165912,51.549752,POINT (-0.165912 51.549752),Approximate Location,09/01/2026 01:55:48 PM
Gloucester Avenue j/w St Marks Crescent,Gloucester Avenue,https://www.camden.gov.uk/winter-weather,528320.12032798,183758.25900075,-0.151151,51.538151,POINT (-0.151151 51.538151),Approximate Location,09/01/2026 01:55:48 PM
Goldhurst Terrace j/w Aberdare Gardens,Goldhurst Terrace,https://www.camden.gov.uk/winter-weather,525730.59398796,184107.7789517,-0.188344,51.541875,POINT (-0.188344 51.541875),Approximate Location,09/01/2026 01:55:48 PM
Gondar Gardens just off Mill Lane,Gondar Gardens,https://www.camden.gov.uk/winter-weather,524806.93277304,185126.26741241,-0.201295,51.551233,POINT (-0.201295 51.551233),Approximate Location,09/01/2026 01:55:48 PM
Grafton Road j/w Vicars Road,Grafton Road,https://www.camden.gov.uk/winter-weather,528234.51185857,185367.008501,-0.151798,51.552629,POINT (-0.151798 51.552629),Approximate Location,09/01/2026 01:55:48 PM
Great Ormond Street o/s hospital entrance,Great Ormond Street,https://www.camden.gov.uk/winter-weather,530498.49020607,182006.3904679,-0.120408,51.521909,POINT (-0.120408 51.521909),Approximate Location,09/01/2026 01:55:48 PM
Hampstead Grove Foot path side of Heath Mansions,Hampstead Grove,https://www.camden.gov.uk/winter-weather,526305.25001152,185968.71626394,-0.179394,51.558471,POINT (-0.179394 51.558471),Approximate Location,09/01/2026 01:55:48 PM
Harben Road j/w Belsize Road,Harben Road,https://www.camden.gov.uk/winter-weather,526533.48979292,184311.33068563,-0.176699,51.543525,POINT (-0.176699 51.543525),Approximate Location,09/01/2026 01:55:48 PM
Harmood Street j/w Chalk Farm Road,Harmood Street,https://www.camden.gov.uk/winter-weather,528530.72392368,184291.05648905,-0.147921,51.542892,POINT (-0.147921 51.542892),Approximate Location,09/01/2026 01:55:48 PM
Haverstock Hill j/w Rowland Hill Street,Haverstock Hill,https://www.camden.gov.uk/winter-weather,527156.97306832,185338.58663667,-0.167342,51.552617,POINT (-0.167342 51.552617),Approximate Location,09/01/2026 01:55:48 PM
Haverstock Hill o/s Belsize Park Tube Station,Haverstock Hill,https://www.camden.gov.uk/winter-weather,527371.72392976,185079.36083928,-0.16434,51.550239,POINT (-0.16434 51.550239),Approximate Location,09/01/2026 01:55:48 PM
Haverstock Hill opposite Steele's Road,Haverstock Hill,https://www.camden.gov.uk/winter-weather,527826.11749211,184696.01057215,-0.157929,51.546691,POINT (-0.157929 51.546691),Approximate Location,09/01/2026 01:55:48 PM
Heath Street j/w New End Opposite The Mount,Heath Street,https://www.camden.gov.uk/winter-weather,526362.00076708,185986.00131614,-0.17857,51.558613,POINT (-0.17857 51.558613),Approximate Location,09/01/2026 01:55:48 PM
Heath Street j/w Upper Terrace,Heath Street,https://www.camden.gov.uk/winter-weather,526330.61181947,186175.77699342,-0.178954,51.560326,POINT (-0.178954 51.560326),Approximate Location,09/01/2026 01:55:48 PM
Herbrand Street o/s Ambulance Station,Herbrand Street,https://www.camden.gov.uk/winter-weather,530067.94960549,182346.02324903,-0.126485,51.52506,POINT (-0.126485 51.52506),Approximate Location,09/01/2026 01:55:48 PM
Highgate Hill near junction with Dartmouth Park Hill,Highgate Hill,https://www.camden.gov.uk/winter-weather,528835.52734247,187222.84727267,-0.142455,51.56917,POINT (-0.142455 51.56917),Approximate Location,09/01/2026 01:55:48 PM
Highgate Road j/w Swains Lane,Highgate Road,https://www.camden.gov.uk/winter-weather,528297.99882904,186347.99769576,-0.150526,51.56143,POINT (-0.150526 51.56143),Approximate Location,09/01/2026 01:55:48 PM
Highgate Road o/s William Ellis School,Highgate Road,https://www.camden.gov.uk/winter-weather,528393.41067611,186092.97069648,-0.149243,51.559117,POINT (-0.149243 51.559117),Approximate Location,09/01/2026 01:55:48 PM
Highgate West Hill j/w Merton Lane,Highgate West Hill,https://www.camden.gov.uk/winter-weather,528041.04974489,186996.65202039,-0.153994,51.567318,POINT (-0.153994 51.567318),Approximate Location,09/01/2026 01:55:48 PM
Highgate West Hill j/w The Grove,Highgate West Hill,https://www.camden.gov.uk/winter-weather,528207.92978157,187222.55735566,-0.151506,51.56931,POINT (-0.151506 51.56931),Approximate Location,09/01/2026 01:55:48 PM
"Hillfield Road j/w Fortune Green Road, by Police Station",Hillfield Road,https://www.camden.gov.uk/winter-weather,525186.97237438,185405.41750653,-0.195718,51.553658,POINT (-0.195718 51.553658),Approximate Location,09/01/2026 01:55:48 PM
Hillfield Road on incline j/w Mill Lane,Hillfield Road,https://www.camden.gov.uk/winter-weather,524855.8837008,185150.6904214,-0.200581,51.551442,POINT (-0.200581 51.551442),Approximate Location,09/01/2026 01:55:48 PM
Hillgrove Road j/w Alexandra Road,Hillgrove Road,https://www.camden.gov.uk/winter-weather,526534.15764287,184090.38393098,-0.176769,51.541539,POINT (-0.176769 51.541539),Approximate Location,09/01/2026 01:55:48 PM
Holford Road opposite Church under street name plate,Holford Road,https://www.camden.gov.uk/winter-weather,526458.33606098,186122.03237766,-0.177132,51.559814,POINT (-0.177132 51.559814),Approximate Location,09/01/2026 01:55:48 PM
Holly Hill (West) j/w Hampstead Grove,Holly Hill (West),https://www.camden.gov.uk/winter-weather,526287.61382582,185919.43037188,-0.179666,51.558032,POINT (-0.179666 51.558032),Approximate Location,09/01/2026 01:55:48 PM
Holly Hill opposite No 6,Holly Hill,https://www.camden.gov.uk/winter-weather,526336.00408943,185800.60438546,-0.179011,51.556953,POINT (-0.179011 51.556953),Approximate Location,09/01/2026 01:55:48 PM
Holly Walk j/w Mount Vernon,Holly Walk,https://www.camden.gov.uk/winter-weather,526231.8524776,185846.01138785,-0.180496,51.557385,POINT (-0.180496 51.557385),Approximate Location,09/01/2026 01:55:48 PM
Holmes Road j/w Raglan Street,Holmes Road,https://www.camden.gov.uk/winter-weather,528911.16753301,185019.29803208,-0.142172,51.54935,POINT (-0.142172 51.54935),Approximate Location,09/01/2026 01:55:48 PM
Inverness Street j/w Gloucester Crescent,Inverness Street,https://www.camden.gov.uk/winter-weather,528700.62989779,183850.00273938,-0.145634,51.538889,POINT (-0.145634 51.538889),Approximate Location,09/01/2026 01:55:48 PM
Iverson Road j/w Maygrove Road,Iverson Road,https://www.camden.gov.uk/winter-weather,525271.64090682,184752.40442958,-0.194729,51.54777,POINT (-0.194729 51.54777),Approximate Location,09/01/2026 01:55:48 PM
Keat's Grove j/w Heath Hurst Road,Keat's Grove,https://www.camden.gov.uk/winter-weather,527066.68140421,185685.97719716,-0.168518,51.555759,POINT (-0.168518 51.555759),Approximate Location,09/01/2026 01:55:48 PM
Kentish Town Road o/s Camden Underground Station,Kentish Town Road,https://www.camden.gov.uk/winter-weather,528920.35253108,183922.24206109,-0.142441,51.539489,POINT (-0.142441 51.539489),Approximate Location,09/01/2026 01:55:48 PM
Kentish Town Road o/s Kentish Town Underground Station,Kentish Town Road,https://www.camden.gov.uk/winter-weather,529017.19901877,185152.00004652,-0.140595,51.550518,POINT (-0.140595 51.550518),Approximate Location,09/01/2026 01:55:48 PM
Kidderpore Avenue j/w Kidderpore Gardens,Kidderpore Avenue,https://www.camden.gov.uk/winter-weather,525451.64708078,185756.01714843,-0.191777,51.55675,POINT (-0.191777 51.55675),Approximate Location,09/01/2026 01:55:48 PM
Kingsgate Road j/w Kingsgate Place,Kingsgate Road,https://www.camden.gov.uk/winter-weather,525259.66083304,183948.67449488,-0.195188,51.540549,POINT (-0.195188 51.540549),Approximate Location,09/01/2026 01:55:48 PM
Lady Margaret Road j/w Falkland Road,Lady Margaret Road,https://www.camden.gov.uk/winter-weather,529216.19356845,185302.62693003,-0.137671,51.551826,POINT (-0.137671 51.551826),Approximate Location,09/01/2026 01:55:48 PM
Lancaster Grove o/s Fire Station,Lancaster Grove,https://www.camden.gov.uk/winter-weather,527227.33641976,184553.91124766,-0.166611,51.545549,POINT (-0.166611 51.545549),Approximate Location,09/01/2026 01:55:48 PM
Langland Gardens j/w Frognal Lane,Langland Gardens,https://www.camden.gov.uk/winter-weather,525970.84682338,185462.33121515,-0.184397,51.553995,POINT (-0.184397 51.553995),Approximate Location,09/01/2026 01:55:48 PM
Langland Gardens j/w Linfield Gardens,Langland Gardens,https://www.camden.gov.uk/winter-weather,525965.75137562,185374.74628608,-0.184501,51.553209,POINT (-0.184501 51.553209),Approximate Location,09/01/2026 01:55:48 PM
Lawford Road o/s Health Centre,Lawford Road,https://www.camden.gov.uk/winter-weather,529093.4988142,184715.41501769,-0.139655,51.546577,POINT (-0.139655 51.546577),Approximate Location,09/01/2026 01:55:48 PM
Leather Lane j/w Greville Street,Leather Lane,https://www.camden.gov.uk/winter-weather,531289.74398476,181715.03386786,-0.109118,51.519107,POINT (-0.109118 51.519107),Approximate Location,09/01/2026 01:55:48 PM
Leather Lane j/w Holborn,Leather Lane,https://www.camden.gov.uk/winter-weather,531288.38354968,181601.40639339,-0.10918,51.518087,POINT (-0.10918 51.518087),Approximate Location,09/01/2026 01:55:48 PM
Leather Lane j/w Portpool Lane,Leather Lane,https://www.camden.gov.uk/winter-weather,531221.9283572,182023.38560309,-0.10998,51.521894,POINT (-0.10998 51.521894),Approximate Location,09/01/2026 01:55:48 PM
Lyndhurst Gardens j/w Lyndhurst Road,Lyndhurst Gardens,https://www.camden.gov.uk/winter-weather,526835.05290269,185339.05650217,-0.171983,51.552693,POINT (-0.171983 51.552693),Approximate Location,09/01/2026 01:55:48 PM
Lyndhurst Gardens o/s Hospice,Lyndhurst Gardens,https://www.camden.gov.uk/winter-weather,526892.41379277,185167.41563386,-0.171218,51.551138,POINT (-0.171218 51.551138),Approximate Location,09/01/2026 01:55:48 PM
Maitland Park Road j/w Maitland Park Villas,Maitland Park Road,https://www.camden.gov.uk/winter-weather,527949.10906855,184722.23306604,-0.156147,51.546899,POINT (-0.156147 51.546899),Approximate Location,09/01/2026 01:55:48 PM
Mansfield Road j/w Savernake Rd by bus stop,Mansfield Road,https://www.camden.gov.uk/winter-weather,528206.98159955,185604.72045666,-0.152109,51.554771,POINT (-0.152109 51.554771),Approximate Location,09/01/2026 01:55:48 PM
Maresfield Gardens  j/w Netherhall Gardens,Maresfield Gardens,https://www.camden.gov.uk/winter-weather,526432.25693272,185215.31192369,-0.177834,51.551672,POINT (-0.177834 51.551672),Approximate Location,09/01/2026 01:55:48 PM
Menelik Road j/w Minster Road,Menelik Road,https://www.camden.gov.uk/winter-weather,524694.98133341,185422.14271899,-0.202804,51.553917,POINT (-0.202804 51.553917),Approximate Location,09/01/2026 01:55:48 PM
Merton Lane o/s Hathaway Court,Merton Lane,https://www.camden.gov.uk/winter-weather,527861.18373697,186844.3856062,-0.156643,51.56599,POINT (-0.156643 51.56599),Approximate Location,09/01/2026 01:55:48 PM
Mornington Street j/w Mornington Terrace,Mornington Street,https://www.camden.gov.uk/winter-weather,528889.4005717,183381.62681059,-0.143085,51.534637,POINT (-0.143085 51.534637),Approximate Location,09/01/2026 01:55:48 PM
New End j/w Streathley Place,New End,https://www.camden.gov.uk/winter-weather,526496.43648833,185940.56432235,-0.176648,51.558175,POINT (-0.176648 51.558175),Approximate Location,09/01/2026 01:55:48 PM
New End to side of steps of Christchurch Passage,Christchurch Passage,https://www.camden.gov.uk/winter-weather,526488.90874755,186005.4357531,-0.176733,51.55876,POINT (-0.176733 51.55876),Approximate Location,09/01/2026 01:55:48 PM
North End j/w Wildwood Terrace,North End,https://www.camden.gov.uk/winter-weather,526107.32731979,187105.49086559,-0.18184,51.568731,POINT (-0.18184 51.568731),Approximate Location,09/01/2026 01:55:48 PM
North End Way j/w Sandy Road,North End Way,https://www.camden.gov.uk/winter-weather,526026.94621911,186962.39182727,-0.183051,51.567463,POINT (-0.183051 51.567463),Approximate Location,09/01/2026 01:55:48 PM
Northend Way o/s Inverforth House,Northend Way,https://www.camden.gov.uk/winter-weather,526206.55663014,186642.2734602,-0.180576,51.564546,POINT (-0.180576 51.564546),Approximate Location,09/01/2026 01:55:48 PM
Oriel Place j/w Heath Street,Oriel Place,https://www.camden.gov.uk/winter-weather,526367.12919508,185673.39079997,-0.178608,51.555803,POINT (-0.178608 51.555803),Approximate Location,09/01/2026 01:55:48 PM
Oseney Crescent j/w Busby Place,Oseney Crescent,https://www.camden.gov.uk/winter-weather,529532.49060241,184906.68026858,-0.133257,51.548196,POINT (-0.133257 51.548196),Approximate Location,09/01/2026 01:55:48 PM
Pancras Road o/s St Pancras Station near bus stop at Euston Road end,Pancras Road,https://www.camden.gov.uk/winter-weather,530175.47344731,182956.38853378,-0.12471,51.530521,POINT (-0.12471 51.530521),Approximate Location,09/01/2026 01:55:48 PM
Parkway j/w Albert Street,Parkway,https://www.camden.gov.uk/winter-weather,528767.89310626,183731.53664994,-0.144708,51.537809,POINT (-0.144708 51.537809),Approximate Location,09/01/2026 01:55:48 PM
Parliament Hill j/w Nassington Road,Parliament Hill,https://www.camden.gov.uk/winter-weather,527435.54894775,185790.09739306,-0.163163,51.556612,POINT (-0.163163 51.556612),Approximate Location,09/01/2026 01:55:48 PM
Patshull Road j/w Bartholmew Road,Patshull Road,https://www.camden.gov.uk/winter-weather,529384.54947107,184760.77203438,-0.135443,51.546918,POINT (-0.135443 51.546918),Approximate Location,09/01/2026 01:55:48 PM
Perrin's Lane j/w Hampstead High Steath Street,Perrin's Lane,https://www.camden.gov.uk/winter-weather,526477.82738543,185663.22371027,-0.177016,51.555687,POINT (-0.177016 51.555687),Approximate Location,09/01/2026 01:55:48 PM
Platt's Lane j/w Rosecroft Avenue,Platt's Lane,https://www.camden.gov.uk/winter-weather,525423.473707,186274.36877182,-0.191999,51.561414,POINT (-0.191999 51.561414),Approximate Location,09/01/2026 01:55:48 PM
Platt's Lane j/w West Heath Road,Platt's Lane,https://www.camden.gov.uk/winter-weather,525546.00356002,186404.62148737,-0.190185,51.562558,POINT (-0.190185 51.562558),Approximate Location,09/01/2026 01:55:48 PM
Pond Street o/s Royal Free Hospital,Pond Street,https://www.camden.gov.uk/winter-weather,527212.31391843,185477.22695129,-0.166494,51.55385,POINT (-0.166494 51.55385),Approximate Location,09/01/2026 01:55:48 PM
Primrose Gardens j/w Belsize Grove,Primrose Gardens,https://www.camden.gov.uk/winter-weather,527370.29753419,184836.3004146,-0.164449,51.548055,POINT (-0.164449 51.548055),Approximate Location,09/01/2026 01:55:48 PM
Primrose Hill Road j/w Oppidans Road,Primrose Hill Road,https://www.camden.gov.uk/winter-weather,527596.69042191,184103.21025948,-0.161451,51.541415,POINT (-0.161451 51.541415),Approximate Location,09/01/2026 01:55:48 PM
Prince Arthur Road j/w Fitzjohns Avenue,Prince Arthur Road,https://www.camden.gov.uk/winter-weather,526463.2501174,185519.05497814,-0.177278,51.554394,POINT (-0.177278 51.554394),Approximate Location,09/01/2026 01:55:48 PM
Prince of Wales Road o/s Kentish Town West Station,Prince of Wales Road,https://www.camden.gov.uk/winter-weather,528612.85297731,184693.29135052,-0.146591,51.546488,POINT (-0.146591 51.546488),Approximate Location,09/01/2026 01:55:48 PM
Princess Road o/s School,Princess Road,https://www.camden.gov.uk/winter-weather,528273.32960623,183886.81220278,-0.151778,51.539317,POINT (-0.151778 51.539317),Approximate Location,09/01/2026 01:55:48 PM
Purchese Street j/w Chenies Place,Purchese Street,https://www.camden.gov.uk/winter-weather,529758.69385371,183295.23154098,-0.13059,51.533662,POINT (-0.13059 51.533662),Approximate Location,09/01/2026 01:55:48 PM
